Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
0.6354941551540914,0.63465151777069,0.63465151777069,0.6348749359780629,3.2364978790283203
0.6349628055260361,0.6343345976243983,0.6343345976243983,0.6346199019761466,0.030884981155395508
0.6344314558979809,0.6342888391006021,0.6342888391006022,0.6344393031981639,0.0233609676361084
0.6339001062699257,0.633813741341188,0.6338137413411881,0.6339239902056221,0.37459874153137207
0.6344314558979809,0.6337917094593603,0.6337917094593603,0.634075318178506,0.028573274612426758
0.6344314558979809,0.6337917094593603,0.6337917094593603,0.634075318178506,0.01817011833190918
0.6339001062699257,0.6332488212943223,0.6332488212943223,0.6335304888486774,0.019198894500732422
0.6339001062699257,0.6332488212943223,0.6332488212943223,0.6335304888486774,0.060108184814453125
0.6339001062699257,0.6332488212943223,0.6332488212943223,0.6335304888486774,0.04010629653930664
0.6333687566418703,0.6328641107424067,0.6328641107424067,0.6331510805358976,0.015114068984985352
0.6232731137088204,0.622707413219807,0.622707413219807,0.6229934687815917,0.016546964645385742
0.6211477151965994,0.620535860559655,0.620535860559655,0.6208175826905237,0.1293790340423584
0.6179596174282678,0.618498758870657,0.6184987588706572,0.6178033014809231,0.03160691261291504
0.6174282678002125,0.6170519986306338,0.6170519986306339,0.6173153956464504,1.4994840621948242
0.6153028692879915,0.6148578491686072,0.6148578491686072,0.6151358473771542,0.778447151184082
0.6137088204038257,0.6130032166547469,0.6130032166547469,0.6132619086947958,0.015568971633911133
0.6099893730074389,0.6094063707163525,0.6094063707163525,0.6096876127090997,0.14793896675109863
0.6046758767268863,0.6046327963203368,0.6046327963203367,0.6047133869369937,0.01912403106689453
0.5887353878852285,0.5878264249260803,0.5878264249260802,0.5879601702316659,15.897262811660767
0.577577045696068,0.5786628568458706,0.5786628568458706,0.5765917570356324,0.49126386642456055
0.5701381509032943,0.5736610547509211,0.5736610547509211,0.558320067679921,0.023360013961791992
0.5738575982996812,0.5732808635593805,0.5732808635593805,0.5735544200025089,0.15618205070495605
0.5637619553666312,0.5635083116686496,0.5635083116686496,0.5637342275811655,0.020576000213623047
0.5600425079702445,0.5601374337490015,0.5601374337490016,0.5600877244654408,1.5072531700134277
0.5595111583421891,0.5594815615745903,0.5594815615745904,0.5595578031794711,2.7366278171539307
0.5403825717321998,0.5402765396613418,0.5402765396613417,0.5404187859661488,0.08233904838562012
0.5106269925611052,0.5,0.5,0.3452075552945636,0.013710737228393555
